payment_id,order_id,payment_type,installments,amount
PAY-000479,ORD-000003,debit_card,1,7438.64
PAY-000480,ORD-009113,debit_card,1,7947.07
PAY-000481,ORD-003676,credit_card,3,4488.36
PAY-000482,ORD-013158,credit_card,7,3012.79
PAY-000483,ORD-014479,voucher,1,1076.03
PAY-000484,ORD-012358,voucher,1,6852.45
PAY-000485,ORD-003900,credit_card,5,1465.98
PAY-000486,ORD-014352,credit_card,6,5353.37
PAY-000487,ORD-010428,credit_card,8,4266.79
PAY-000488,ORD-008925,voucher,1,6697.32
PAY-000489,ORD-001890,debit_card,1,2772.78
PAY-000490,ORD-010859,credit_card,6,4906.52
PAY-000491,ORD-004155,boleto,1,-73.24
PAY-000492,ORD-008647,debit_card,1,4895.63
PAY-000493,ORD-008322,voucher,1,5312.99
PAY-000494,ORD-013300,voucher,1,900.67
PAY-000495,ORD-004022,voucher,1,5889.36
PAY-000496,ORD-009172,voucher,1,4009.85
PAY-000497,ORD-008167,voucher,1,4805.75
PAY-000498,ORD-003146,voucher,1,7974.97
PAY-000499,ORD-001947,voucher,1,6348.01
PAY-000500,ORD-007633,voucher,1,7360.17
PAY-000501,ORD-013090,boleto,1,3505.88
PAY-000502,ORD-013801,boleto,1,4707.19
PAY-000503,ORD-004018,boleto,1,2278.38
PAY-000504,ORD-006053,boleto,1,4851.12
PAY-000505,ORD-004610,credit_card,11,4010.57
PAY-000506,ORD-009687,debit_card,1,2521.08
PAY-000507,ORD-014008,boleto,1,4449.9
PAY-000508,ORD-008748,credit_card,9,6880.09
PAY-000509,ORD-003644,voucher,1,6960.43
PAY-000510,ORD-005117,voucher,1,1580.2
PAY-000511,ORD-010803,boleto,1,5441.67
PAY-000512,ORD-008115,credit_card,9,5763.9
PAY-000513,ORD-003803,credit_card,12,4877.68
PAY-000514,ORD-004225,voucher,1,6111.6
PAY-000515,ORD-008538,debit_card,1,1839.61
PAY-000516,ORD-010965,credit_card,9,6815.39
PAY-000517,ORD-011926,boleto,1,7112.58
PAY-000518,ORD-005464,debit_card,1,4866.53
PAY-000519,ORD-014171,boleto,1,5908.84
PAY-000520,ORD-011174,debit_card,1,5705.65
PAY-000521,ORD-011096,debit_card,1,6169.47
PAY-000522,ORD-002783,boleto,1,2861.54
PAY-000523,ORD-007042,boleto,1,670.03
PAY-000524,ORD-014136,credit_card,12,2106.61
PAY-000525,ORD-008120,voucher,1,5397.97
PAY-000526,ORD-002513,voucher,1,1685.19
PAY-000527,ORD-003772,credit_card,3,7586.92
PAY-000528,ORD-003782,voucher,1,-23.45
PAY-000529,ORD-005418,credit_card,10,4545.48
PAY-000530,ORD-009995,voucher,1,5312.9
PAY-000531,ORD-013913,credit_card,12,4428.47
PAY-000532,ORD-013851,voucher,1,7711.68
PAY-000533,ORD-010602,voucher,1,1021.2
PAY-000534,ORD-004589,voucher,1,1170.69
PAY-000535,ORD-014580,credit_card,4,4377.67
PAY-000536,ORD-002465,debit_card,1,2644.26
PAY-000537,ORD-014771,credit_card,,4161.0
PAY-000538,ORD-014581,cash,1,217.2
PAY-000539,ORD-000261,voucher,1,6504.68
PAY-000540,ORD-007259,boleto,1,4573.07
PAY-000541,ORD-013724,voucher,1,4126.97
PAY-000542,ORD-001029,debit_card,1,7592.87
PAY-000543,ORD-010356,boleto,1,6029.51
PAY-000544,ORD-001126,voucher,1,7637.48
PAY-000545,ORD-006351,voucher,1,6568.07
PAY-000546,ORD-004558,voucher,1,2734.93
PAY-000547,ORD-003805,credit_card,3,3977.56
PAY-000548,ORD-003583,voucher,,4580.73
PAY-000549,ORD-013214,debit_card,1,692.46
PAY-000550,ORD-004137,voucher,1,7108.4
PAY-000551,ORD-001507,boleto,1,3323.99
