product_id,product_name,category,price,weight_kg
PROD-0051,Health Item 51,health,1988.02,6.29
PROD-0052,Food Item 52,food,1584.4,29.33
PROD-0053,Health Item 53,health,4292.4,48.5
PROD-0054,Health Item 54,health,3863.02,
PROD-0055,Food Item 55,food,2464.95,4.26
PROD-0056,Toys Item 56,toys,2122.11,3.19
PROD-0057,Furniture Item 57,furniture,41.25,39.32
PROD-0058,Electronics Item 58,electronics,2384.25,4.02
PROD-0059,Clothing Item 59,clothing,866.51,12.19
PROD-0060,Sports Item 60,sports,4594.61,19.3
PROD-0061,Home Appliances Item 61,home_appliances,4496.14,12.91
PROD-0062,Beauty Item 62,beauty,434.03,49.31
PROD-0063,Automotive Item 63,automotive,379.6,39.71
PROD-0064,Toys Item 64,toys,970.96,34.54
PROD-0065,Toys Item 65,toys,1667.21,2.82
PROD-0066,Beauty Item 66,beauty,4236.8,0.17
PROD-0067,Home Appliances Item 67,home_appliances,103.3,19.7
PROD-0068,Home Appliances Item 68,home_appliances,2429.8,31.29
PROD-0069,Clothing Item 69,clothing,1373.81,42.83
PROD-0070,Pet Shop Item 70,pet_shop,1585.16,
PROD-0071,Health Item 71,health,3785.65,41.69
PROD-0072,Clothing Item 72,clothing,3007.24,12.95
PROD-0073,Office Supplies Item 73,office_supplies,2281.53,2.55
PROD-0074,Music Item 74,music,4768.14,45.22
PROD-0075,Home Appliances Item 75,home_appliances,3558.07,36.67
PROD-0076,Electronics Item 76,electronics,4649.45,4.84
PROD-0077,Clothing Item 77,clothing,3295.78,40.93
PROD-0078,Pet Shop Item 78,pet_shop,2764.29,18.13
PROD-0079,Automotive Item 79,automotive,848.32,14.72
PROD-0080,Music Item 80,music,1063.5,44.2
PROD-0081,Sports Item 81,sports,4557.56,49.64
PROD-0082,Furniture Item 82,,2470.33,20.06
PROD-0083,Furniture Item 83,furniture,478.96,7.12
PROD-0084,Health Item 84,health,1634.72,6.23
PROD-0085,Beauty Item 85,beauty,2161.69,35.62
PROD-0086,Beauty Item 86,beauty,3491.79,31.72
PROD-0087,Automotive Item 87,automotive,1272.16,13.4
PROD-0088,Clothing Item 88,clothing,2661.63,30.53
PROD-0089,Garden Item 89,garden,,45.88
PROD-0090,Garden Item 90,garden,2159.57,32.16
PROD-0091,Food Item 91,food,2198.85,11.61
PROD-0092,Books Item 92,books,797.79,21.7
PROD-0093,Health Item 93,health,397.59,17.09
PROD-0094,Home Appliances Item 94,home_appliances,4707.28,27.12
PROD-0095,Health Item 95,,455.94,21.27
PROD-0096,Books Item 96,books,3340.3,1.78
PROD-0097,Sports Item 97,sports,3162.14,13.48
PROD-0098,Beauty Item 98,beauty,597.91,47.53
PROD-0099,Automotive Item 99,automotive,2250.59,15.97
PROD-0100,Health Item 100,health,1614.61,22.58
PROD-0101,Furniture Item 101,furniture,3531.06,46.95
PROD-0102,Furniture Item 102,furniture,1298.95,43.31
PROD-0103,Clothing Item 103,clothing,2151.11,17.49
PROD-0104,Electronics Item 104,electronics,1616.99,21.31
PROD-0105,Garden Item 105,garden,882.1,36.26
PROD-0106,Clothing Item 106,clothing,,1.9
PROD-0107,Health Item 107,health,4008.66,13.76
PROD-0108,Furniture Item 108,furniture,1061.84,36.51
PROD-0109,Automotive Item 109,automotive,61.11,15.83
PROD-0110,Automotive Item 110,automotive,2809.35,39.92
PROD-0111,Pet Shop Item 111,pet_shop,2564.98,26.32
PROD-0112,Office Supplies Item 112,office_supplies,1062.32,21.62
PROD-0113,Electronics Item 113,electronics,4279.11,
PROD-0114,Home Appliances Item 114,home_appliances,533.48,17.42
PROD-0115,Garden Item 115,garden,2552.92,49.94
PROD-0116,Electronics Item 116,electronics,2709.07,5.94
PROD-0117,Toys Item 117,toys,4582.34,48.12
PROD-0118,Health Item 118,health,1452.32,14.1
PROD-0119,Office Supplies Item 119,office_supplies,316.91,20.35
PROD-0120,Health Item 120,health,1722.85,
PROD-0121,Automotive Item 121,automotive,2133.24,14.04
PROD-0122,Automotive Item 122,automotive,4656.61,34.42
PROD-0123,Books Item 123,books,4889.34,49.74
PROD-0124,Music Item 124,music,4487.18,33.69
PROD-0125,Furniture Item 125,furniture,3939.26,15.17
PROD-0126,Furniture Item 126,furniture,3002.96,4.26
PROD-0127,Sports Item 127,sports,2011.06,11.22
PROD-0128,Sports Item 128,sports,1332.2,47.89
PROD-0129,Office Supplies Item 129,office_supplies,2718.75,49.31
PROD-0130,Books Item 130,books,3335.21,27.14
PROD-0131,Office Supplies Item 131,office_supplies,4991.66,5.71
PROD-0132,Automotive Item 132,automotive,1287.66,35.5
PROD-0133,Automotive Item 133,automotive,1682.33,23.85
PROD-0134,Books Item 134,books,1119.03,10.98
PROD-0135,Health Item 135,,468.77,27.39
PROD-0136,Garden Item 136,garden,827.31,13.76
PROD-0137,Office Supplies Item 137,office_supplies,2844.95,36.73
PROD-0138,Food Item 138,food,2898.48,25.08
PROD-0139,Furniture Item 139,furniture,1735.04,43.64
PROD-0140,Office Supplies Item 140,office_supplies,1071.51,18.42
PROD-0141,Books Item 141,books,,2.57
PROD-0142,Automotive Item 142,automotive,1632.73,30.7
PROD-0143,Office Supplies Item 143,office_supplies,957.38,19.94
PROD-0144,Electronics Item 144,electronics,3812.45,41.82
PROD-0145,Pet Shop Item 145,pet_shop,2875.34,1.45
PROD-0146,Home Appliances Item 146,home_appliances,555.74,28.8
PROD-0147,Beauty Item 147,beauty,3028.52,41.5
PROD-0148,Automotive Item 148,automotive,1361.31,34.56
PROD-0149,Pet Shop Item 149,pet_shop,4211.97,21.79
PROD-0150,Books Item 150,books,4593.73,47.78
PROD-0151,Garden Item 151,garden,3661.74,0.46
PROD-0152,Health Item 152,health,3137.75,11.99
PROD-0153,Electronics Item 153,electronics,2455.19,38.85
PROD-0154,Clothing Item 154,clothing,1638.67,45.9
PROD-0155,Food Item 155,food,586.07,36.91
PROD-0156,Electronics Item 156,electronics,2251.97,25.19
PROD-0157,Health Item 157,health,3983.35,1.07
PROD-0158,Automotive Item 158,automotive,2221.6,20.62
PROD-0159,Garden Item 159,garden,1510.14,49.24
PROD-0160,Furniture Item 160,furniture,1275.06,42.7
PROD-0161,Health Item 161,health,1326.84,
PROD-0162,Books Item 162,books,4280.76,21.2
PROD-0163,Beauty Item 163,beauty,1234.59,45.17
PROD-0164,Music Item 164,music,2912.42,44.25
PROD-0165,Toys Item 165,toys,2432.9,35.11
PROD-0166,Sports Item 166,sports,523.42,48.85
PROD-0167,Office Supplies Item 167,office_supplies,1739.1,27.92
PROD-0168,Home Appliances Item 168,home_appliances,2191.12,11.77
PROD-0169,Garden Item 169,garden,248.81,5.24
PROD-0170,Toys Item 170,toys,860.76,42.84
PROD-0171,Furniture Item 171,furniture,2308.26,31.5
PROD-0172,Pet Shop Item 172,pet_shop,4487.17,6.45
PROD-0173,Clothing Item 173,clothing,4126.25,46.03
PROD-0174,Garden Item 174,garden,644.42,10.19
PROD-0175,Clothing Item 175,clothing,1624.86,45.88
PROD-0176,Home Appliances Item 176,home_appliances,3672.41,0.95
PROD-0177,Beauty Item 177,beauty,1104.3,5.75
PROD-0178,Pet Shop Item 178,pet_shop,2076.52,47.55
PROD-0179,Furniture Item 179,furniture,3884.36,13.01
PROD-0180,Clothing Item 180,clothing,558.23,7.59
PROD-0181,Garden Item 181,garden,2336.75,3.25
PROD-0182,Clothing Item 182,clothing,809.11,21.76
PROD-0183,Furniture Item 183,furniture,2561.92,43.48
PROD-0184,Beauty Item 184,beauty,2449.34,48.45
PROD-0185,Beauty Item 185,beauty,506.65,5.28
PROD-0186,Pet Shop Item 186,pet_shop,3258.83,23.51
PROD-0187,Health Item 187,health,1712.6,18.35
PROD-0188,Health Item 188,health,1887.21,17.26
PROD-0189,Clothing Item 189,clothing,220.81,15.32
PROD-0190,Home Appliances Item 190,home_appliances,1707.22,17.29
PROD-0191,Electronics Item 191,electronics,241.3,6.61
PROD-0192,Furniture Item 192,furniture,2015.08,19.31
PROD-0193,Pet Shop Item 193,pet_shop,4780.83,17.84
PROD-0194,Clothing Item 194,clothing,4589.62,3.4
PROD-0195,Pet Shop Item 195,pet_shop,48.54,39.7
PROD-0196,Music Item 196,music,2358.44,31.56
PROD-0197,Health Item 197,health,3866.62,24.98
PROD-0198,Furniture Item 198,furniture,205.41,43.43
PROD-0199,Pet Shop Item 199,pet_shop,1661.07,32.45
PROD-0200,Garden Item 200,garden,4054.77,35.53
PROD-0201,Home Appliances Item 201,home_appliances,3429.8,9.16
PROD-0202,Office Supplies Item 202,office_supplies,917.39,30.06
PROD-0203,Garden Item 203,garden,2724.24,46.44
PROD-0204,Toys Item 204,toys,1787.7,23.71
PROD-0205,Clothing Item 205,clothing,2772.87,5.09
PROD-0206,Books Item 206,books,1715.78,11.9
PROD-0207,Furniture Item 207,furniture,4745.92,20.37
PROD-0208,Furniture Item 208,furniture,2792.29,7.34
PROD-0209,Music Item 209,music,1451.43,22.76
PROD-0210,Music Item 210,music,3325.94,38.94
PROD-0211,Health Item 211,health,1316.07,5.99
PROD-0212,Clothing Item 212,clothing,1900.27,2.87
PROD-0213,Office Supplies Item 213,office_supplies,2677.7,22.09
PROD-0214,Sports Item 214,sports,3668.13,17.64
PROD-0215,Office Supplies Item 215,office_supplies,1678.62,28.6
PROD-0216,Pet Shop Item 216,pet_shop,2069.22,23.48
PROD-0217,Food Item 217,food,2307.0,1.42
PROD-0218,Toys Item 218,toys,808.7,35.75
PROD-0219,Automotive Item 219,automotive,440.62,33.0
PROD-0220,Office Supplies Item 220,office_supplies,3421.92,41.17
PROD-0221,Electronics Item 221,electronics,2214.85,31.16
PROD-0222,Electronics Item 222,electronics,1959.08,6.04
PROD-0223,Garden Item 223,garden,1671.68,38.5
PROD-0224,Music Item 224,music,1966.42,8.19
PROD-0225,Pet Shop Item 225,pet_shop,620.02,45.05
PROD-0226,Furniture Item 226,furniture,3548.76,42.97
PROD-0227,Books Item 227,books,1301.66,37.5
PROD-0228,Electronics Item 228,electronics,450.85,32.81
PROD-0229,Food Item 229,food,4800.93,14.92
PROD-0230,Office Supplies Item 230,office_supplies,3035.16,2.89
PROD-0231,Health Item 231,health,764.28,46.13
PROD-0232,Office Supplies Item 232,office_supplies,350.11,25.04
PROD-0233,Office Supplies Item 233,office_supplies,4087.97,20.25
PROD-0234,Health Item 234,,2046.76,
PROD-0235,Food Item 235,food,2406.88,11.15
PROD-0236,Food Item 236,food,-88.59,17.57
PROD-0237,Electronics Item 237,electronics,595.23,16.97
PROD-0238,Toys Item 238,toys,2909.52,23.3
PROD-0239,Electronics Item 239,electronics,1056.6,4.41
PROD-0240,Office Supplies Item 240,,4011.3,47.63
PROD-0241,Beauty Item 241,beauty,1604.73,11.43
PROD-0242,Office Supplies Item 242,office_supplies,,44.36
PROD-0243,Toys Item 243,toys,4119.86,
PROD-0244,Health Item 244,health,1962.11,23.18
PROD-0245,Sports Item 245,sports,4804.46,29.04
PROD-0246,Health Item 246,health,3560.4,43.84
PROD-0247,Food Item 247,food,1705.88,38.46
PROD-0248,Health Item 248,health,982.36,15.77
PROD-0249,Pet Shop Item 249,pet_shop,4732.75,4.87
PROD-0250,Home Appliances Item 250,home_appliances,3191.73,24.88
PROD-0251,Food Item 251,food,4433.3,31.9
PROD-0252,Electronics Item 252,electronics,4433.25,22.18
PROD-0253,Garden Item 253,garden,2565.43,4.26
PROD-0254,Music Item 254,music,2989.86,37.08
PROD-0255,Home Appliances Item 255,home_appliances,2615.95,31.69
PROD-0256,Electronics Item 256,electronics,3401.02,42.99
PROD-0257,Beauty Item 257,beauty,4236.28,3.97
PROD-0258,Automotive Item 258,automotive,577.61,32.33
PROD-0259,Garden Item 259,garden,2619.88,33.75
PROD-0260,Electronics Item 260,electronics,3904.58,34.61
PROD-0261,Books Item 261,books,516.86,15.79
PROD-0262,Books Item 262,books,697.24,43.98
PROD-0263,Toys Item 263,toys,1683.95,38.95
PROD-0264,Garden Item 264,garden,1720.95,21.02
PROD-0265,Food Item 265,food,4916.58,5.77
PROD-0266,Office Supplies Item 266,office_supplies,695.6,3.64
PROD-0267,Clothing Item 267,clothing,1575.96,31.94
PROD-0268,Furniture Item 268,furniture,4260.94,1.45
PROD-0269,Furniture Item 269,furniture,3925.81,28.62
PROD-0270,Clothing Item 270,clothing,232.0,4.18
PROD-0271,Beauty Item 271,beauty,3434.29,28.48
PROD-0272,Sports Item 272,sports,3894.64,2.92
PROD-0273,Clothing Item 273,clothing,1316.93,39.01
PROD-0274,Automotive Item 274,automotive,906.31,25.92
PROD-0275,Books Item 275,books,822.1,13.8
PROD-0276,Automotive Item 276,automotive,4390.3,31.5
PROD-0277,Food Item 277,food,662.32,43.11
PROD-0278,Music Item 278,music,3770.67,11.85
PROD-0279,Garden Item 279,garden,4397.63,47.11
PROD-0280,Beauty Item 280,beauty,1156.75,22.03
PROD-0281,Food Item 281,food,106.7,10.14
PROD-0282,Garden Item 282,garden,234.34,
PROD-0283,Sports Item 283,sports,2102.39,6.68
PROD-0284,Office Supplies Item 284,office_supplies,1483.91,34.26
PROD-0285,Books Item 285,books,1435.3,16.38
PROD-0286,Office Supplies Item 286,office_supplies,3191.82,41.84
PROD-0287,Sports Item 287,sports,3418.87,
PROD-0288,Home Appliances Item 288,home_appliances,2683.99,21.12
PROD-0289,Beauty Item 289,beauty,3159.48,10.21
PROD-0290,Garden Item 290,garden,2740.26,20.0
PROD-0291,Sports Item 291,sports,3869.07,45.27
PROD-0292,Books Item 292,books,1298.93,13.47
PROD-0293,Garden Item 293,garden,2627.58,32.25
PROD-0294,Garden Item 294,garden,4688.4,8.42
PROD-0295,Garden Item 295,garden,4697.48,15.12
PROD-0296,Home Appliances Item 296,home_appliances,410.01,25.46
PROD-0297,Office Supplies Item 297,office_supplies,559.08,32.19
PROD-0298,Pet Shop Item 298,pet_shop,896.97,38.98
PROD-0299,Clothing Item 299,clothing,2392.99,35.75
PROD-0300,Food Item 300,food,3092.74,24.67
PROD-0301,Automotive Item 301,automotive,3416.1,22.68
PROD-0302,Food Item 302,food,265.78,10.68
PROD-0303,Electronics Item 303,,3760.04,44.43
PROD-0304,Garden Item 304,garden,1236.38,31.99
PROD-0305,Home Appliances Item 305,home_appliances,3803.47,47.72
PROD-0306,Health Item 306,health,3669.33,36.77
PROD-0307,Garden Item 307,garden,1063.3,38.32
PROD-0308,Health Item 308,health,2962.63,48.04
PROD-0309,Food Item 309,food,4158.63,19.05
PROD-0310,Garden Item 310,garden,603.4,37.18
PROD-0311,Garden Item 311,garden,184.71,28.76
PROD-0312,Home Appliances Item 312,home_appliances,1641.98,5.88
PROD-0313,Furniture Item 313,furniture,2382.16,
PROD-0314,Beauty Item 314,beauty,1668.05,19.63
PROD-0315,Office Supplies Item 315,office_supplies,2096.07,35.8
PROD-0316,Garden Item 316,garden,2820.45,2.22
PROD-0317,Home Appliances Item 317,,2599.23,42.19
PROD-0318,Books Item 318,books,4920.83,28.82
PROD-0319,Electronics Item 319,electronics,2802.5,11.3
PROD-0320,Beauty Item 320,beauty,-19.91,39.52
PROD-0321,Sports Item 321,sports,-25.6,42.82
PROD-0322,Home Appliances Item 322,home_appliances,3679.61,5.56
PROD-0323,Music Item 323,music,1356.47,44.97
PROD-0324,Automotive Item 324,automotive,2707.87,35.12
PROD-0325,Clothing Item 325,clothing,3212.51,6.75
PROD-0326,Garden Item 326,garden,1180.25,40.09
PROD-0327,Furniture Item 327,furniture,3147.23,21.04
PROD-0328,Office Supplies Item 328,office_supplies,986.62,2.11
PROD-0329,Automotive Item 329,automotive,3774.03,27.31
PROD-0330,Garden Item 330,garden,3750.17,42.35
PROD-0331,Garden Item 331,garden,1758.55,2.21
PROD-0332,Beauty Item 332,beauty,-89.85,23.02
PROD-0333,Beauty Item 333,beauty,2518.29,8.85
PROD-0334,Office Supplies Item 334,office_supplies,4013.21,24.29
PROD-0335,Clothing Item 335,clothing,2438.33,47.99
PROD-0336,Furniture Item 336,furniture,3506.81,11.16
PROD-0337,Clothing Item 337,clothing,2092.65,22.01
PROD-0338,Furniture Item 338,furniture,3269.17,
PROD-0339,Toys Item 339,toys,4593.11,16.63
PROD-0340,Toys Item 340,toys,3963.01,11.69
PROD-0341,Garden Item 341,garden,2451.27,21.41
PROD-0342,Automotive Item 342,,471.34,24.93
PROD-0343,Pet Shop Item 343,pet_shop,2987.18,45.71
PROD-0344,Electronics Item 344,electronics,2413.26,35.18
PROD-0345,Pet Shop Item 345,pet_shop,4902.15,36.65
PROD-0346,Food Item 346,food,3726.82,10.47
PROD-0347,Sports Item 347,sports,1158.26,33.74
PROD-0348,Beauty Item 348,beauty,1329.13,34.71
PROD-0349,Clothing Item 349,clothing,2221.22,45.69
PROD-0350,Pet Shop Item 350,pet_shop,3385.53,34.33
PROD-0351,Toys Item 351,toys,,22.52
PROD-0352,Music Item 352,music,1882.72,11.01
PROD-0353,Toys Item 353,toys,431.58,28.08
PROD-0354,Sports Item 354,sports,4560.31,27.28
PROD-0355,Clothing Item 355,clothing,2504.01,3.93
PROD-0356,Music Item 356,music,4572.65,35.76
PROD-0357,Office Supplies Item 357,office_supplies,1946.92,8.61
PROD-0358,Beauty Item 358,beauty,2099.36,39.87
PROD-0359,Clothing Item 359,clothing,3988.73,9.26
PROD-0360,Clothing Item 360,clothing,1777.4,34.89
PROD-0361,Furniture Item 361,furniture,2706.57,25.07
PROD-0362,Food Item 362,food,2097.45,45.59
PROD-0363,Home Appliances Item 363,home_appliances,851.6,37.31
PROD-0364,Furniture Item 364,furniture,1069.53,20.85
PROD-0365,Books Item 365,books,3685.2,5.18
PROD-0366,Furniture Item 366,furniture,2785.28,40.68
PROD-0367,Automotive Item 367,automotive,3747.81,17.58
PROD-0368,Beauty Item 368,beauty,4680.96,27.02
PROD-0369,Sports Item 369,sports,3471.58,2.82
PROD-0370,Garden Item 370,garden,2266.7,40.72
PROD-0371,Beauty Item 371,beauty,2365.62,36.46
PROD-0372,Sports Item 372,sports,4472.57,40.61
PROD-0373,Beauty Item 373,beauty,1349.05,14.34
PROD-0374,Sports Item 374,sports,3406.35,22.7
PROD-0375,Home Appliances Item 375,home_appliances,746.81,30.97
PROD-0376,Home Appliances Item 376,home_appliances,1600.11,
PROD-0377,Home Appliances Item 377,home_appliances,3109.49,15.02
PROD-0378,Sports Item 378,sports,2336.39,6.9
PROD-0379,Electronics Item 379,electronics,1091.44,3.54
PROD-0380,Health Item 380,health,915.62,4.08
PROD-0381,Beauty Item 381,beauty,3738.55,14.11
PROD-0382,Clothing Item 382,clothing,2691.03,41.87
PROD-0383,Sports Item 383,sports,4877.87,45.14
PROD-0384,Garden Item 384,garden,3175.53,9.55
PROD-0385,Books Item 385,books,-6.38,1.76
PROD-0386,Furniture Item 386,furniture,2437.22,30.35
PROD-0387,Electronics Item 387,electronics,2707.89,41.21
PROD-0388,Books Item 388,books,2237.05,29.62
PROD-0389,Garden Item 389,garden,3558.77,30.31
PROD-0390,Home Appliances Item 390,home_appliances,2954.28,33.37
PROD-0391,Toys Item 391,toys,2577.26,2.25
PROD-0392,Office Supplies Item 392,office_supplies,2539.35,22.32
PROD-0393,Home Appliances Item 393,home_appliances,3204.04,49.71
PROD-0394,Office Supplies Item 394,office_supplies,3410.25,1.27
PROD-0395,Garden Item 395,garden,3609.53,33.53
PROD-0396,Health Item 396,health,1162.05,8.41
PROD-0397,Health Item 397,health,4122.65,21.35
PROD-0398,Beauty Item 398,beauty,4084.23,49.26
PROD-0399,Furniture Item 399,furniture,2701.46,41.13
PROD-0400,Garden Item 400,garden,1632.04,19.96
PROD-0401,Health Item 401,health,4631.48,2.05
PROD-0402,Pet Shop Item 402,pet_shop,807.48,24.29
PROD-0403,Health Item 403,health,4011.19,11.41
PROD-0404,Books Item 404,books,2558.52,46.56
PROD-0405,Health Item 405,health,44.88,46.87
PROD-0406,Home Appliances Item 406,home_appliances,4581.0,
PROD-0407,Furniture Item 407,furniture,5.6,1.08
PROD-0408,Home Appliances Item 408,home_appliances,2805.83,25.46
PROD-0409,Office Supplies Item 409,office_supplies,3522.27,44.65
PROD-0410,Music Item 410,music,2072.87,0.28
PROD-0411,Beauty Item 411,beauty,316.83,4.35
PROD-0412,Beauty Item 412,beauty,1017.8,16.45
PROD-0413,Automotive Item 413,automotive,2322.66,19.82
PROD-0414,Music Item 414,music,3933.89,10.71
PROD-0415,Office Supplies Item 415,office_supplies,3412.36,5.87
PROD-0416,Garden Item 416,garden,1109.14,49.53
PROD-0417,Electronics Item 417,electronics,2281.56,37.98
PROD-0418,Furniture Item 418,furniture,4284.69,42.7
PROD-0419,Home Appliances Item 419,home_appliances,1437.16,31.96
PROD-0420,Books Item 420,books,536.7,14.08
PROD-0421,Garden Item 421,garden,939.12,47.58
PROD-0422,Food Item 422,food,657.66,26.51
PROD-0423,Pet Shop Item 423,pet_shop,3891.92,20.72
PROD-0424,Electronics Item 424,electronics,344.79,3.41
PROD-0425,Food Item 425,food,2962.46,29.53
PROD-0426,Sports Item 426,sports,4719.08,4.29
PROD-0427,Beauty Item 427,beauty,3959.06,31.22
PROD-0428,Furniture Item 428,furniture,1302.65,
PROD-0429,Garden Item 429,garden,2728.67,23.87
PROD-0430,Electronics Item 430,electronics,4239.05,47.13
PROD-0431,Electronics Item 431,electronics,1435.07,27.11
PROD-0432,Garden Item 432,garden,1425.65,21.64
PROD-0433,Health Item 433,health,2588.49,40.66
PROD-0434,Music Item 434,music,1335.05,
PROD-0435,Sports Item 435,sports,3004.79,7.26
PROD-0436,Pet Shop Item 436,pet_shop,169.6,49.47
PROD-0437,Health Item 437,health,1205.49,37.96
PROD-0438,Garden Item 438,garden,3165.39,28.83
PROD-0439,Food Item 439,food,698.04,15.28
PROD-0440,Food Item 440,food,4746.04,19.6
PROD-0441,Garden Item 441,garden,792.31,42.15
PROD-0442,Music Item 442,music,3986.84,43.32
PROD-0443,Sports Item 443,sports,2280.03,45.08
PROD-0444,Furniture Item 444,furniture,1304.05,47.45
PROD-0445,Sports Item 445,sports,2653.5,39.72
PROD-0446,Beauty Item 446,beauty,3477.17,3.18
PROD-0447,Health Item 447,health,4656.3,13.88
PROD-0448,Garden Item 448,garden,271.76,29.09
PROD-0449,Pet Shop Item 449,pet_shop,2047.36,1.08
PROD-0450,Books Item 450,books,3336.41,19.68
PROD-0451,Pet Shop Item 451,pet_shop,2324.63,19.57
PROD-0452,Office Supplies Item 452,office_supplies,1469.81,48.45
PROD-0453,Sports Item 453,sports,736.41,18.04
PROD-0454,Pet Shop Item 454,pet_shop,939.2,42.4
PROD-0455,Clothing Item 455,clothing,958.54,39.62
PROD-0456,Clothing Item 456,clothing,3734.85,36.59
PROD-0457,Automotive Item 457,automotive,1105.96,8.92
PROD-0458,Sports Item 458,sports,1878.21,37.74
PROD-0459,Sports Item 459,sports,3657.97,10.09
PROD-0460,Electronics Item 460,electronics,4367.03,35.88
PROD-0461,Office Supplies Item 461,office_supplies,4020.27,49.56
PROD-0462,Office Supplies Item 462,office_supplies,3111.99,49.38
PROD-0463,Food Item 463,food,147.52,12.32
PROD-0464,Furniture Item 464,furniture,4599.03,33.5
PROD-0465,Automotive Item 465,automotive,2622.47,35.57
PROD-0466,Beauty Item 466,beauty,122.8,19.85
PROD-0467,Music Item 467,music,488.9,24.74
PROD-0468,Toys Item 468,toys,3977.18,30.33
PROD-0469,Electronics Item 469,electronics,325.35,3.69
PROD-0470,Pet Shop Item 470,pet_shop,400.56,9.39
PROD-0471,Clothing Item 471,clothing,3242.46,13.11
PROD-0472,Music Item 472,,487.13,31.29
PROD-0473,Beauty Item 473,beauty,3820.32,42.73
PROD-0474,Automotive Item 474,,4099.33,14.94
PROD-0475,Sports Item 475,sports,869.7,35.34
PROD-0476,Beauty Item 476,beauty,4750.79,18.34
PROD-0477,Music Item 477,music,4908.74,43.04
PROD-0478,Toys Item 478,toys,3565.57,47.76
PROD-0479,Furniture Item 479,furniture,3686.99,32.34
PROD-0480,Music Item 480,music,360.34,34.63
PROD-0481,Automotive Item 481,automotive,2689.11,26.77
PROD-0482,Books Item 482,books,1811.32,9.56
PROD-0483,Office Supplies Item 483,office_supplies,2218.97,47.95
PROD-0484,Beauty Item 484,,3258.19,40.09
PROD-0485,Toys Item 485,toys,1274.5,44.26
PROD-0486,Food Item 486,food,2938.57,9.67
PROD-0487,Office Supplies Item 487,,4676.69,11.77
PROD-0488,Clothing Item 488,clothing,3906.31,40.94
PROD-0489,Food Item 489,food,4959.74,13.92
PROD-0490,Home Appliances Item 490,home_appliances,4897.28,34.33
PROD-0491,Pet Shop Item 491,pet_shop,2427.07,16.85
PROD-0492,Books Item 492,books,4511.84,17.61
PROD-0493,Home Appliances Item 493,home_appliances,1489.18,
PROD-0494,Electronics Item 494,electronics,2082.34,36.22
PROD-0495,Food Item 495,food,2596.56,8.44
PROD-0496,Music Item 496,music,1149.21,49.17
PROD-0497,Books Item 497,books,4928.67,21.03
PROD-0498,Office Supplies Item 498,office_supplies,973.21,8.15
PROD-0499,Clothing Item 499,clothing,4785.79,9.18
PROD-0500,Sports Item 500,sports,,12.81
