order_id,customer_id,status,order_date,approved_at,delivered_at
ORD-000043,CUST-04713,delivered,2023-05-31 13:31:00,2023-06-02 00:31:00,2023-06-20 00:31:00
ORD-000044,CUST-04561,returned,2023-01-23 04:41:00,2023-01-24 14:41:00,
ORD-000045,CUST-02763,processing,2022-08-14 22:05:00,2022-08-16 17:05:00,
ORD-000046,CUST-02785,delivered,2024-01-18 17:41:00,2024-01-18 23:41:00,2024-01-21 23:41:00
ORD-000047,CUST-04384,delivered,2022-07-11 16:03:00,2022-07-13 04:03:00,2022-08-07 04:03:00
ORD-000048,CUST-03370,delivered,2023-07-28 21:06:00,2023-07-30 18:06:00,2023-08-12 18:06:00
ORD-000049,CUST-01645,canceled,2022-08-12 05:43:00,,
ORD-000050,CUST-04816,shipped,2023-08-04 03:14:00,2023-08-05 20:14:00,
ORD-000051,CUST-03461,delivered,2022-08-22 11:04:00,2022-08-24 04:04:00,2022-08-29 04:04:00
ORD-000052,CUST-01812,delivered,2023-07-01 17:39:00,2023-07-03 13:39:00,2023-07-10 13:39:00
ORD-000053,CUST-03216,processing,2021-04-16 08:00:00,2021-04-17 21:00:00,
ORD-000054,CUST-01182,processing,2021-11-25 04:22:00,2021-11-26 17:22:00,
ORD-000055,CUST-00974,processing,2024-03-03 17:54:00,2024-03-04 17:54:00,
ORD-000056,CUST-99459,delivered,2023-08-07 11:17:00,2023-08-09 01:17:00,2023-08-30 01:17:00
ORD-000057,CUST-02652,shipped,2023-08-26 08:23:00,2023-08-28 05:23:00,
ORD-000058,CUST-00033,shipped,2024-02-23 04:36:00,2024-02-23 21:36:00,
ORD-000059,CUST-04743,shipped,2023-09-27 04:37:00,2023-09-28 00:37:00,
ORD-000060,CUST-00576,delivered,2022-03-11 14:44:00,2022-03-13 06:44:00,2022-03-30 06:44:00
ORD-000061,CUST-01198,delivered,2023-12-23 17:35:00,2023-12-25 15:35:00,2023-12-31 15:35:00
ORD-000062,CUST-04000,delivered,2024-02-24 14:30:00,2024-02-24 17:30:00,2024-03-23 17:30:00
ORD-000063,CUST-01417,returned,2022-08-04 07:05:00,2022-08-04 10:05:00,
ORD-000064,CUST-00776,delivered,2022-03-16 12:30:00,2022-03-18 06:30:00,2022-04-15 06:30:00
ORD-000065,CUST-02791,canceled,2022-06-24 04:31:00,,
ORD-000066,CUST-04212,processing,2024-01-22 01:15:00,2024-01-22 19:15:00,
ORD-000067,CUST-04512,shipped,2021-03-27 10:47:00,2021-03-28 06:47:00,
ORD-000068,CUST-04048,shipped,2024-05-11 17:51:00,2024-05-13 15:51:00,
ORD-000069,CUST-04041,delivered,2024-02-04 21:44:00,2024-02-05 17:44:00,2024-02-19 17:44:00
ORD-000070,CUST-01401,canceled,,,
ORD-000071,CUST-00767,processing,2023-09-22 09:08:00,2023-09-23 10:08:00,
ORD-000072,CUST-00438,returned,2023-04-15 13:50:00,2023-04-15 19:50:00,
ORD-000073,CUST-00310,canceled,2021-11-18 20:17:00,,
ORD-000074,CUST-03355,delivered,2023-03-25 05:47:00,2023-03-25 12:47:00,2023-03-26 12:47:00
ORD-000075,CUST-01336,delivered,2022-01-06 02:24:00,2022-01-07 14:24:00,2022-01-16 14:24:00
ORD-000076,CUST-00569,canceled,2021-05-19 01:58:00,,
ORD-000077,CUST-02434,delivered,2022-12-06 13:54:00,2022-12-07 23:54:00,2022-12-30 23:54:00
ORD-000078,CUST-01011,shipped,2023-10-04 05:49:00,2023-10-04 23:49:00,
ORD-000079,CUST-04032,shipped,2021-05-20 16:55:00,2021-05-22 04:55:00,
ORD-000080,CUST-03190,delivered,2022-03-08 14:18:00,2022-03-09 09:18:00,2022-04-02 09:18:00
ORD-000081,CUST-03907,delivered,2021-10-31 20:04:00,2021-11-01 13:04:00,2021-11-06 13:04:00
ORD-000082,CUST-00636,unknown,2023-06-14 21:24:00,2023-06-15 17:24:00,
ORD-000083,CUST-01817,canceled,2022-08-21 05:29:00,,
ORD-000084,CUST-04010,delivered,2022-09-01 21:42:00,2022-09-03 10:42:00,2022-09-08 10:42:00
ORD-000085,CUST-00797,delivered,2022-08-19 01:50:00,2022-08-19 03:50:00,2022-08-28 03:50:00
ORD-000086,CUST-01336,delivered,2022-06-29 07:40:00,2022-06-30 01:40:00,2022-07-26 01:40:00
ORD-000087,CUST-03345,processing,2022-03-23 19:30:00,2022-03-24 01:30:00,
ORD-000088,CUST-00366,delivered,2022-05-09 11:59:00,2022-05-10 19:59:00,2022-05-22 19:59:00
ORD-000089,CUST-03831,delivered,2023-04-09 14:22:00,2023-04-10 17:22:00,2023-04-19 17:22:00
ORD-000090,CUST-02094,returned,2021-07-10 07:19:00,2021-07-12 04:19:00,
ORD-000091,CUST-02281,processing,2022-03-12 05:19:00,2022-03-12 15:19:00,
ORD-000092,CUST-01636,shipped,2022-08-05 23:18:00,2022-08-07 20:18:00,
ORD-000093,CUST-02327,delivered,2022-01-28 10:39:00,2022-01-28 13:39:00,2022-02-24 13:39:00
ORD-000094,CUST-04593,delivered,2023-01-20 02:48:00,2023-01-20 21:48:00,2023-02-02 21:48:00
ORD-000095,CUST-01859,delivered,2022-12-25 06:39:00,2022-12-26 12:39:00,2023-01-14 12:39:00
ORD-000096,CUST-02094,delivered,2024-01-17 01:31:00,2024-01-18 00:31:00,2024-01-20 00:31:00
ORD-000097,CUST-01734,returned,2022-07-12 11:07:00,2022-07-13 01:07:00,
ORD-000098,CUST-04978,processing,2021-12-25 23:09:00,2021-12-27 20:09:00,
ORD-000099,CUST-00022,processing,2021-07-24 04:50:00,2021-07-26 01:50:00,
ORD-000100,CUST-03018,delivered,2021-12-21 08:04:00,2021-12-22 23:04:00,2022-01-14 23:04:00
ORD-000101,CUST-01776,delivered,2021-04-05 03:34:00,2021-04-05 09:34:00,2021-04-09 09:34:00
ORD-000102,CUST-02039,delivered,2022-12-29 06:34:00,2022-12-29 19:34:00,2023-01-11 19:34:00
ORD-000103,CUST-00993,delivered,2021-11-16 02:41:00,2021-11-17 05:41:00,2021-11-28 05:41:00
ORD-000104,CUST-00518,delivered,2022-08-26 13:35:00,2022-08-27 21:35:00,2022-09-02 21:35:00
ORD-000105,CUST-01001,delivered,2024-01-22 08:22:00,2024-01-22 11:22:00,2024-02-19 11:22:00
ORD-000106,CUST-03780,delivered,2022-02-12 21:06:00,2022-02-13 07:06:00,2022-02-17 07:06:00
ORD-000107,CUST-01513,delivered,2022-06-07 22:42:00,2022-06-08 23:42:00,2022-06-21 23:42:00
ORD-000038,CUST-00807,delivered,2021-02-01 10:17:00,2021-02-01 11:17:00,2021-02-02 11:17:00
ORD-000109,CUST-03434,shipped,2021-09-26 00:21:00,2021-09-27 22:21:00,
ORD-000110,CUST-03701,delivered,2024-06-21 06:27:00,2024-06-21 10:27:00,2024-06-22 10:27:00
ORD-000111,CUST-01548,delivered,2022-03-09 22:15:00,2022-03-11 02:15:00,2022-04-10 02:15:00
ORD-000112,CUST-00241,shipped,2023-07-08 21:22:00,2023-07-09 22:22:00,
ORD-000113,CUST-01956,delivered,2024-02-18 23:58:00,2024-02-20 00:58:00,2024-02-23 00:58:00
ORD-000114,CUST-03986,shipped,2022-11-24 00:30:00,2022-11-24 14:30:00,
ORD-000115,CUST-04634,delivered,2023-12-20 10:24:00,2023-12-21 02:24:00,2024-01-03 02:24:00
ORD-000116,CUST-04931,shipped,2022-01-01 22:33:00,2022-01-03 00:33:00,
ORD-000117,CUST-00190,delivered,2021-06-12 05:05:00,2021-06-13 00:05:00,2021-06-20 00:05:00
ORD-000118,CUST-01863,delivered,2021-11-27 14:10:00,2021-11-28 23:10:00,2021-12-25 23:10:00
ORD-000119,CUST-00987,unknown,2023-05-04 11:47:00,,
ORD-000120,CUST-03807,delivered,2023-08-01 14:58:00,2023-08-01 16:58:00,2023-08-14 16:58:00
ORD-000121,CUST-01299,shipped,2024-04-21 04:17:00,2024-04-23 04:17:00,
ORD-000122,CUST-03326,delivered,2022-10-02 06:48:00,2022-10-03 20:48:00,2022-10-11 20:48:00
ORD-000123,CUST-03190,delivered,2021-10-24 13:12:00,2021-10-26 00:12:00,2021-11-18 00:12:00
ORD-000124,CUST-03853,processing,2023-10-26 21:42:00,2023-10-28 04:42:00,
ORD-000125,CUST-00122,processing,2021-09-07 20:40:00,2021-09-09 07:40:00,
ORD-000126,CUST-03890,delivered,2024-05-07 09:59:00,2024-05-08 19:59:00,2024-05-12 19:59:00
ORD-000127,CUST-02332,delivered,2021-09-24 14:31:00,2021-09-24 22:31:00,2021-10-13 22:31:00
ORD-000128,CUST-04812,delivered,2022-04-11 12:19:00,2022-04-12 08:19:00,2022-05-04 08:19:00
ORD-000129,CUST-02322,processing,2021-03-30 23:49:00,2021-03-31 07:49:00,
ORD-000130,CUST-01631,delivered,2024-04-26 12:07:00,2024-04-27 19:07:00,2024-05-18 19:07:00
ORD-000131,CUST-04229,delivered,2022-06-22 23:10:00,2022-06-24 04:10:00,2022-06-28 04:10:00
ORD-000132,CUST-00750,returned,2024-01-17 19:36:00,2024-01-18 19:36:00,
ORD-000133,CUST-02506,canceled,2022-09-24 14:59:00,,
ORD-000134,CUST-02801,delivered,2023-10-29 06:50:00,2023-10-30 13:50:00,2023-10-31 13:50:00
ORD-000135,CUST-01009,shipped,2021-11-30 11:01:00,2021-12-01 12:01:00,
ORD-000136,CUST-01795,returned,2023-01-24 16:07:00,2023-01-25 08:07:00,
ORD-000137,CUST-02712,delivered,2023-06-05 20:11:00,2023-06-07 17:11:00,2023-06-16 17:11:00
ORD-000138,CUST-03817,delivered,2023-01-14 19:04:00,2023-01-16 08:04:00,2023-02-07 08:04:00
ORD-000139,CUST-02934,delivered,2021-12-14 19:09:00,2021-12-16 11:09:00,2021-12-31 11:09:00
ORD-000140,CUST-04517,delivered,2024-02-22 10:58:00,2024-02-23 07:58:00,2024-03-21 07:58:00
ORD-000141,CUST-04113,shipped,2023-07-16 05:53:00,2023-07-17 18:53:00,
ORD-000142,CUST-04614,delivered,2022-05-04 07:41:00,2022-05-05 07:41:00,2022-05-27 07:41:00
ORD-000143,CUST-01766,delivered,2021-04-15 00:40:00,2021-04-15 05:40:00,2021-04-30 05:40:00
ORD-000144,CUST-02917,processing,2023-09-04 13:12:00,2023-09-04 22:12:00,
ORD-000145,CUST-03392,delivered,2022-12-14 22:27:00,2022-12-16 15:27:00,2023-01-13 15:27:00
ORD-000146,CUST-04070,delivered,2023-10-04 01:15:00,2023-10-05 19:15:00,2023-10-06 19:15:00
ORD-000147,CUST-00442,delivered,2023-11-14 14:52:00,2023-11-14 22:52:00,2023-12-06 22:52:00
ORD-000148,CUST-02734,delivered,2021-05-17 17:40:00,2021-05-19 05:40:00,2021-06-02 05:40:00
ORD-000149,CUST-03843,delivered,2021-09-10 14:10:00,2021-09-11 20:10:00,2021-09-20 20:10:00
ORD-000150,CUST-00001,canceled,2024-02-23 17:11:00,,
ORD-000151,CUST-03906,delivered,2024-04-19 08:42:00,2024-04-21 08:42:00,2024-05-14 08:42:00
ORD-000152,CUST-00167,shipped,2021-04-12 13:17:00,2021-04-14 08:17:00,
ORD-000153,CUST-00589,shipped,2022-10-19 07:51:00,2022-10-20 02:51:00,
ORD-000154,CUST-02740,delivered,2022-06-17 20:01:00,2022-06-18 05:01:00,2022-07-03 05:01:00
ORD-000155,CUST-04526,delivered,2022-04-15 00:57:00,2022-04-16 09:57:00,2022-05-07 09:57:00
ORD-000156,CUST-03553,shipped,2022-10-25 20:43:00,2022-10-26 04:43:00,
ORD-000157,CUST-01681,delivered,2021-04-23 17:36:00,2021-04-24 21:36:00,2021-04-25 21:36:00
ORD-000158,CUST-01777,delivered,2023-02-25 12:51:00,2023-02-26 18:51:00,2023-02-27 18:51:00
ORD-000159,CUST-03507,delivered,2022-12-05 22:56:00,2022-12-06 02:56:00,2022-12-29 02:56:00
ORD-000160,CUST-01459,delivered,2022-07-19 00:52:00,2022-07-20 21:52:00,2022-08-13 21:52:00
ORD-000161,CUST-00167,delivered,2023-11-24 18:56:00,2023-11-25 07:56:00,2023-12-06 07:56:00
ORD-000162,CUST-03550,delivered,2023-01-04 05:09:00,2023-01-05 00:09:00,2023-01-26 00:09:00
ORD-000163,CUST-04524,canceled,2021-08-01 04:26:00,,
ORD-000164,CUST-04420,shipped,2022-11-03 20:11:00,2022-11-05 03:11:00,
ORD-000165,CUST-03359,canceled,2024-01-24 10:26:00,,
ORD-000166,CUST-02199,delivered,2023-04-11 16:40:00,2023-04-12 10:40:00,2023-04-27 10:40:00
ORD-000167,CUST-03071,delivered,2024-04-22 13:21:00,2024-04-24 02:21:00,2024-04-28 02:21:00
ORD-000168,CUST-02104,canceled,2024-05-29 08:39:00,,
ORD-000169,CUST-03724,processing,2023-10-26 08:16:00,2023-10-27 23:16:00,
ORD-000170,CUST-01916,delivered,2023-08-30 03:56:00,2023-08-30 23:56:00,2023-09-20 23:56:00
ORD-000171,CUST-01225,delivered,2021-01-27 02:04:00,2021-01-28 11:04:00,2021-02-05 11:04:00
ORD-000172,CUST-00596,canceled,2024-01-25 22:38:00,,
ORD-000173,CUST-00451,delivered,2021-04-01 09:29:00,2021-04-01 10:29:00,2021-04-18 10:29:00
ORD-000174,CUST-02589,processing,2022-04-17 21:08:00,2022-04-18 20:08:00,
ORD-000175,CUST-00527,delivered,2022-11-11 02:56:00,2022-11-11 08:56:00,2022-11-12 08:56:00
ORD-000176,CUST-03294,delivered,2023-12-12 20:59:00,2023-12-13 05:59:00,2023-12-16 05:59:00
ORD-000177,CUST-00090,processing,2021-01-15 17:32:00,2021-01-17 04:32:00,
ORD-000178,CUST-02445,shipped,2021-08-07 09:15:00,2021-08-08 15:15:00,
ORD-000179,CUST-03520,canceled,2022-01-24 02:53:00,,
ORD-000180,CUST-00589,shipped,2023-10-06 06:09:00,2023-10-07 12:09:00,
ORD-000181,CUST-04977,shipped,2022-05-01 14:30:00,2022-05-02 19:30:00,
ORD-000182,CUST-02614,shipped,2022-01-31 14:42:00,2022-02-01 11:42:00,
ORD-000183,CUST-02570,delivered,2022-12-12 21:04:00,2022-12-14 14:04:00,2022-12-24 14:04:00
ORD-000184,CUST-03536,processing,2023-08-27 04:14:00,2023-08-28 18:14:00,
ORD-000185,CUST-04395,returned,2021-08-02 16:32:00,2021-08-03 02:32:00,
ORD-000186,CUST-00264,delivered,2024-03-29 11:57:00,2024-03-30 08:57:00,2024-04-17 08:57:00
ORD-000187,CUST-02063,delivered,2022-04-03 22:28:00,2022-04-05 04:28:00,2022-04-19 04:28:00
ORD-000188,CUST-03058,processing,2024-04-18 12:24:00,2024-04-18 14:24:00,
ORD-000189,CUST-03847,delivered,2023-10-12 04:13:00,2023-10-13 16:13:00,2023-10-14 16:13:00
ORD-000190,CUST-03571,delivered,2023-02-27 21:57:00,2023-02-28 22:57:00,2023-03-17 22:57:00
ORD-000191,CUST-04289,delivered,2021-05-01 20:51:00,2021-05-02 13:51:00,2021-05-08 13:51:00
ORD-000192,CUST-00025,shipped,2023-04-06 16:33:00,2023-04-08 05:33:00,
ORD-000193,CUST-01960,returned,2021-05-25 19:04:00,2021-05-27 14:04:00,
ORD-000194,CUST-02277,delivered,2021-07-14 15:38:00,2021-07-15 12:38:00,2021-07-22 12:38:00
ORD-000195,CUST-02868,shipped,2022-08-04 09:26:00,2022-08-04 20:26:00,
ORD-000196,CUST-02386,returned,2021-07-17 12:59:00,2021-07-18 02:59:00,
ORD-000197,CUST-02358,canceled,2023-09-25 01:03:00,,
ORD-000198,CUST-03611,delivered,2021-09-14 03:08:00,2021-09-16 03:08:00,2021-10-16 03:08:00
ORD-000199,CUST-92158,delivered,2024-01-02 10:26:00,2024-01-04 00:26:00,2024-02-03 00:26:00
ORD-000200,CUST-04079,delivered,2023-11-05 16:00:00,2023-11-06 21:00:00,2023-12-02 21:00:00
ORD-000201,CUST-00147,returned,2024-02-24 22:28:00,2024-02-26 04:28:00,
ORD-000202,CUST-03208,processing,2022-04-08 08:39:00,2022-04-09 05:39:00,
ORD-000203,CUST-00509,delivered,2022-10-28 22:02:00,2022-10-29 01:02:00,2022-11-15 01:02:00
ORD-000204,CUST-02386,shipped,2022-12-19 02:27:00,2022-12-20 10:27:00,
ORD-000205,CUST-00534,shipped,2022-10-18 04:25:00,2022-10-18 10:25:00,
ORD-000206,CUST-03526,delivered,2023-08-30 04:56:00,2023-08-30 06:56:00,2023-09-02 06:56:00
ORD-000207,CUST-02127,delivered,2022-05-20 07:08:00,2022-05-22 02:08:00,2022-06-02 02:08:00
ORD-000208,CUST-04542,processing,2022-04-13 00:53:00,2022-04-13 03:53:00,
ORD-000209,CUST-01177,returned,2023-03-12 18:07:00,2023-03-14 13:07:00,
ORD-000210,CUST-01963,delivered,2024-02-14 02:59:00,2024-02-15 13:59:00,2024-03-02 13:59:00
ORD-000211,CUST-03511,delivered,2021-02-26 02:02:00,2021-02-27 06:02:00,2021-03-21 06:02:00
ORD-000212,CUST-00558,canceled,2021-07-07 16:39:00,,
ORD-000213,CUST-91259,returned,2023-02-28 03:19:00,2023-03-01 02:19:00,
ORD-000214,CUST-00467,returned,2023-08-09 09:48:00,2023-08-11 07:48:00,
ORD-000215,CUST-01361,canceled,2023-03-04 03:58:00,,
ORD-000216,CUST-02686,canceled,2021-11-24 02:09:00,,
ORD-000217,CUST-01740,delivered,2022-02-28 00:02:00,2022-03-01 20:02:00,2022-03-14 20:02:00
ORD-000218,CUST-04143,delivered,2024-05-18 22:22:00,2024-05-20 04:22:00,2024-05-28 04:22:00
ORD-000219,CUST-02432,shipped,2021-02-14 17:37:00,2021-02-15 13:37:00,
ORD-000220,CUST-04990,returned,2021-01-13 06:31:00,2021-01-14 07:31:00,
ORD-000221,CUST-00192,processing,2023-11-16 08:46:00,2023-11-17 05:46:00,
ORD-000222,CUST-02379,returned,2024-06-27 22:16:00,2024-06-28 07:16:00,
ORD-000223,CUST-00747,processing,2023-03-14 23:12:00,2023-03-15 09:12:00,
ORD-000224,CUST-01927,delivered,2022-01-24 20:13:00,2022-01-24 21:13:00,2022-02-05 21:13:00
ORD-000225,CUST-00639,delivered,2022-05-15 15:08:00,2022-05-16 05:08:00,2022-06-08 05:08:00
ORD-000226,CUST-00444,delivered,2021-09-13 06:47:00,2021-09-14 06:47:00,2021-10-08 06:47:00
ORD-000227,CUST-00628,delivered,2024-04-14 00:36:00,2024-04-15 12:36:00,2024-04-22 12:36:00
ORD-000228,CUST-01794,delivered,2024-05-16 20:52:00,2024-05-17 01:52:00,2024-05-24 01:52:00
ORD-000229,CUST-04607,processing,2023-05-16 00:10:00,2023-05-16 02:10:00,
ORD-000230,CUST-00628,shipped,2023-11-04 20:07:00,2023-11-06 07:07:00,
ORD-000231,CUST-04255,delivered,,2024-01-17 07:56:00,2024-02-03 07:56:00
ORD-000232,CUST-03703,delivered,2024-04-29 13:32:00,2024-04-29 16:32:00,2024-05-14 16:32:00
ORD-000233,CUST-03431,delivered,2021-11-21 06:41:00,2021-11-22 05:41:00,2021-12-22 05:41:00
ORD-000234,CUST-04213,delivered,2024-04-10 05:43:00,2024-04-11 12:43:00,2024-04-12 12:43:00
ORD-000235,CUST-02095,returned,2021-11-10 20:16:00,2021-11-12 08:16:00,
ORD-000236,CUST-04724,delivered,2022-03-01 12:12:00,2022-03-03 06:12:00,2022-03-25 06:12:00
ORD-000237,CUST-04174,delivered,2023-12-11 23:06:00,2023-12-12 17:06:00,2023-12-14 17:06:00
ORD-000238,CUST-02789,returned,2022-10-27 07:26:00,2022-10-28 13:26:00,
ORD-000239,CUST-03413,delivered,2022-06-18 11:43:00,2022-06-19 16:43:00,2022-06-21 16:43:00
ORD-000240,CUST-04859,delivered,2021-06-27 22:18:00,2021-06-28 18:18:00,2021-07-20 18:18:00
ORD-000241,CUST-00481,delivered,2024-05-27 22:22:00,2024-05-29 05:22:00,2024-06-02 05:22:00
ORD-000242,CUST-00117,processing,2021-12-08 21:13:00,2021-12-10 14:13:00,
ORD-000243,CUST-02874,delivered,2022-12-22 05:11:00,2022-12-23 19:11:00,2023-01-18 19:11:00
ORD-000244,CUST-01757,delivered,2022-07-10 17:32:00,2022-07-11 12:32:00,2022-07-29 12:32:00
ORD-000245,CUST-04368,delivered,2022-08-06 10:28:00,2022-08-08 10:28:00,2022-08-19 10:28:00
ORD-000246,CUST-03553,delivered,2021-01-25 20:02:00,2021-01-27 05:02:00,2021-02-15 05:02:00
ORD-000247,CUST-00388,delivered,2022-12-29 19:44:00,2022-12-29 22:44:00,2023-01-13 22:44:00
ORD-000248,CUST-01599,delivered,2021-01-14 18:45:00,2021-01-16 14:45:00,2021-01-31 14:45:00
ORD-000249,CUST-01635,delivered,2022-08-19 07:47:00,2022-08-19 13:47:00,2022-09-13 13:47:00
ORD-000250,CUST-03461,shipped,2021-07-17 16:32:00,2021-07-18 15:32:00,
ORD-000251,CUST-01018,canceled,2021-04-10 03:21:00,,
ORD-000252,CUST-01701,processing,2022-03-03 02:02:00,2022-03-04 07:02:00,
ORD-000253,CUST-02757,delivered,2023-11-20 22:35:00,2023-11-21 17:35:00,2023-12-05 17:35:00
ORD-000254,CUST-00719,delivered,2023-05-10 12:55:00,2023-05-11 21:55:00,2023-05-17 21:55:00
ORD-000255,CUST-04173,delivered,2022-08-03 18:28:00,2022-08-05 16:28:00,2022-08-20 16:28:00
ORD-000256,CUST-01035,delivered,2022-12-30 23:56:00,2022-12-31 06:56:00,2023-01-25 06:56:00
ORD-000257,CUST-04411,delivered,2021-10-15 14:26:00,2021-10-17 11:26:00,2021-10-25 11:26:00
ORD-000258,CUST-03660,shipped,2023-12-26 22:51:00,2023-12-28 08:51:00,
ORD-000259,CUST-03871,returned,2023-08-14 09:21:00,2023-08-15 15:21:00,
ORD-000260,CUST-03673,delivered,2023-07-22 19:59:00,2023-07-23 08:59:00,2023-07-27 08:59:00
ORD-000261,CUST-00608,delivered,2022-01-25 13:28:00,2022-01-26 22:28:00,2022-01-30 22:28:00
ORD-000262,CUST-01309,canceled,2023-06-18 07:37:00,,
ORD-000263,CUST-02221,shipped,2022-05-28 22:21:00,2022-05-30 09:21:00,
ORD-000264,CUST-01236,delivered,2024-02-29 01:25:00,2024-02-29 17:25:00,2024-03-05 17:25:00
ORD-000265,CUST-02131,Canceled,2023-10-24 09:02:00,2023-10-24 10:02:00,
ORD-000266,CUST-04259,delivered,2023-07-30 13:45:00,2023-07-30 14:45:00,2023-08-02 14:45:00
ORD-000267,CUST-03199,shipped,2024-03-18 06:52:00,2024-03-19 20:52:00,
ORD-000268,CUST-01595,delivered,2021-03-07 22:54:00,2021-03-09 06:54:00,2021-03-28 06:54:00
ORD-000269,CUST-04371,processing,2022-01-10 00:31:00,2022-01-11 19:31:00,
ORD-000270,CUST-01994,delivered,2021-01-27 03:57:00,2021-01-27 16:57:00,2021-02-09 16:57:00
ORD-000271,CUST-04994,delivered,2021-11-03 22:45:00,2021-11-04 23:45:00,2021-11-13 23:45:00
ORD-000272,CUST-03369,shipped,2022-01-31 23:46:00,2022-02-01 11:46:00,
ORD-000273,CUST-02500,shipped,2023-08-13 23:33:00,2023-08-15 09:33:00,
ORD-000274,CUST-00095,,2023-02-06 18:21:00,,
ORD-000275,CUST-04672,shipped,2022-04-05 09:51:00,2022-04-06 00:51:00,
ORD-000276,CUST-01439,processing,2022-08-06 06:43:00,2022-08-07 15:43:00,
ORD-000277,CUST-03779,processing,2021-12-31 21:17:00,2022-01-02 12:17:00,
